code,name,brand,image,category,stores,generic,taxonomy_l3,taxonomy_l2
4066447602661,Mango Streifen,dmBio,https://images.openfoodfacts.org/images/products/406/644/760/2661/front_de.18.200.jpg,obst-gemuese,dm,Mango getrocknet,getrocknete-mango,trockenfruechte
4260444963019,Charakter mit Mandelöl,Simply V,https://images.openfoodfacts.org/images/products/426/044/496/3019/front_de.5.200.jpg,sonstiges,rewe,Streichkäse vegan,kaese-alternativen,sonstiges
4260556635675,Heavenly Hazelnut,yfood,https://images.openfoodfacts.org/images/products/426/055/663/5675/front_de.50.200.jpg,getraenke,rewe|edeka|lidl,Trinkmahlzeit Haselnuss,,
4032549039858,Kefir 1.8%,Plombir,https://images.openfoodfacts.org/images/products/403/254/903/9858/front_de.3.200.jpg,milch-eier,lidl,Kefir,kefir,milchgetraenke
4067796001204,Rote Beete Saft,DmBio,https://images.openfoodfacts.org/images/products/406/779/600/1204/front_de.30.200.jpg,getraenke,dm,Rote-Bete-Saft,rote-bete-saft,saft
4017100381317,Pick Up! Original,Bahlsen,https://images.openfoodfacts.org/images/products/401/710/038/1317/front_de.25.200.jpg,suesses-knabberei,aldi,Keks mit Schokolade,schokoladenkekse,kekse-gebaeck
4056489973140,Eistee Pfirsich Geschmack,Freeway,https://images.openfoodfacts.org/images/products/405/648/997/3140/front_de.11.200.jpg,getraenke,lidl,Eistee Pfirsich,eistee-pfirsich,eistee
4066447602685,"Kokosöl, nativ",DmBio,https://images.openfoodfacts.org/images/products/406/644/760/2685/front_de.4.200.jpg,gewuerze-saucen,dm,Kokosöl nativ,kokosoel,speiseoel
4337256724012,Hummus Pinienkerne,Rewe,https://images.openfoodfacts.org/images/products/433/725/672/4012/front_de.21.200.jpg,fruehstueck-aufstrich,rewe,Hummus Pinienkerne,hummus,herzhafte-brotaufstriche
4061459719628,Bio-Gouda in Scheiben,Aldi,https://images.openfoodfacts.org/images/products/406/145/971/9628/front_de.34.200.jpg,milch-eier,aldi,Gouda Scheiben laktosefrei,gouda,schnittkaese
5000112510379,Fanta Lemon (light),Coca Cola,https://images.openfoodfacts.org/images/products/500/011/251/0379/front_de.38.200.jpg,getraenke,lidl|rewe|aldi|edeka,Zitronenlimonade,zitronenlimonade,limonade
4000417628510,Ritter Sport White Lemon,Ritter Sport,https://images.openfoodfacts.org/images/products/400/041/762/8510/front_de.28.200.jpg,suesses-knabberei,rewe,Schokolade weiß Zitrone,weisse-schokolade,schokolade
4000417628312,Chill out Creamy Milk,Ritter Sport,https://images.openfoodfacts.org/images/products/400/041/762/8312/front_de.38.200.jpg,suesses-knabberei,rewe,Schokolade Milch gefüllt,vollmilchschokolade,schokolade
